## 张衡直接引语

### 《后汉书·张衡列传》原文引语

1. "阳嘉元年，复造候风地动仪。以精铜铸之，圆径八尺，合盖隆起，形似酒尊。饰以篆文山龟鸟兽之形。中有都柱，傍行八道，施关发机。外有八龙，首衔铜丸，下有蟾蜍，张口承之。其牙机巧制，皆隐在尊中，覆盖周密无际。如有一方动，则龙虽动，而机关应之。验之以事，合契若神。"

2. "臣伏唯陛下稽考古训，询之师友，循名责实，抑浮礼，躬亲耕稼，以率天下。"

3. "夫人生在世，富贵不可尽享，贫贱不可终否。唯其志之所存，乃与天地参。"

### 《四愁诗》原文（节选）

4. "我所思兮在太山，欲往从之梁父艰。侧身东望涕沾翰。"

5. "我所思兮在桂林，愿得一奉书殷勤。鸿雁南飞雁书沉。"

6. "我所思兮在昆仑，西涉流沙不得遵。路远无媒劳我心。"

### 《思玄赋》引语

7. "玄默、无为，而天下自正。"

8. "余赴于窒穴，寻所归休。"

### 《应闲》（残篇）

9. "宴安其位，职思其忧。退处阙里，潜默幽遁。"

### 《二京赋》引语

10. "目察apse广袤，心游于淡默之乡。"

11. "于是兆民咸曰：嘻，仁圣之主也！"

### 奏议引语

12. "伏见当今之世，俗流失学，异端并起，学者纷如也。臣以为守学识微，言不及义，则非所以明天子之道也。"

### 自我表白

13. "衡不忮不求，淡然自守。以著述为事，以文章为乐。"

### 临终遗言（据《后汉书》整理）

14. "吾平生所学，期以有用于世。今所成就，不过一二。然吾道不孤，后必有继者。"
